Actual Document Type,File Name,Release Date,Title,Speaker,Speaker Title,Event Name,Event Location,Congressional Subcommittee Name,Congressional Committee Name,Congressional Body
Speech,bernanke20100103a.pdf,2010-01-03,Monetary Policy and the Housing Bubble,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Annual Meeting of the American Economic Association,"Atlanta, Georgia",0,0,0
Speech,kohn20100103a.pdf,2010-01-03,"Monetary Policy in the Crisis: Past, Present, and Future",Donald L. Kohn,Vice Chair Board of Governors of the Federal Reserve System,"Brimmer Policy Forum, American Economic Association Annual Meeting","Atlanta, Georgia",0,0,0
Speech,duke20100104a.pdf,2010-01-04,The Economic Outlook,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Economic Forecast Forum,"Raleigh, North Carolina",0,0,0
Testimony,greenlee20100127a.pdf,2010-01-27,Commercial Real Estate,Jon D. Greenlee,Associate Director Division of Bank Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,0,Congressional Oversight Panel,U.S. Congress
Speech,kohn20100129a.pdf,2010-01-29,Focusing on Bank Interest Rate Risk Exposure,Donald L. Kohn,Vice Chair Board of Governors of the Federal Reserve System,Federal Deposit Insurance Corporation’s Symposium on Interest Rate Risk Management,"Arlington, Virginia",0,0,0
Speech,bernanke_20100203a.pdf,2010-02-03,Ceremonial Swearing-In,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Ceremonial Swearing-In Atrium Federal Reserve Board,"Washington, D.C.",0,0,0
Speech,warsh20100203a.pdf,2010-02-03,Regulation and Its Discontents,Kevin Warsh,Member Board of Governors of the Federal Reserve System,New York Association for Business Economics,"New York, New York",0,0,0
Testimony,bernanke20100210a.pdf,2010-02-10,Federal Reserve's exit strategy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Testimony,tarullo20100212a.pdf,2010-02-12,Equipping financial regulators with the tools necessary to monitor systemic risk,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,Subcommittee on Security and International Trade and Finance,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,duke20100218a.pdf,2010-02-18,Unusual and Exigent: My First Year at the Fed,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Economics Club of Hampton Roads,"Norfolk, Virginia",0,0,0
Testimony,bernanke20100224a.pdf,2010-02-24,Semiannual Monetary Policy Report to the Congress,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Testimony,alvarez20100225a.pdf,2010-02-25,Incentive compensation,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,tarullo20100226a.pdf,2010-02-26,Financial Regulatory Reform,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,U.S. Monetary Policy Forum,"New York, New York",0,0,0
Testimony,duke20100226a.pdf,2010-02-26,Small business lending,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services and Committee on Small Business,U.S. House of Representatives
Testimony,bernanke20100317a.pdf,2010-03-17,The Federal Reserve's role in bank supervision,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,tarullo20100318a.pdf,2010-03-18,Toward an Effective Resolution Regime for Large Financial Institutions,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,"Symposium on Building the Financial System of the 21st Century: An Agenda for Europe and the United States Armonk, New York","New York, New York",0,0,0
Testimony,greenlee_testimony_20100318.pdf,2010-03-18,Insurance holding company supervision,Jon D. Greenlee,Associate Director Division of Bank Supervision and Regulation Board of Governors of the Federal Reserve System,0,0,"Subcommittee on Capital Markets, Insurance, and Government Sponsored Enterprises",Committee on Financial Services,U.S. House of Representatives
Speech,bernanke20100320a.pdf,2010-03-20,Preserving a Central Role for Community Banking,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Independent Community Bankers of America,"Orlando, Florida",0,0,0
Speech,kohn20100324a.pdf,2010-03-24,Homework Assignments for Monetary Policymakers,Donald L. Kohn,Vice Chair Board of Governors of the Federal Reserve System,Cornelson Distinguished Lecture at Davidson College,North Carolina,0,0,0
Testimony,braunstein20100324a.pdf,2010-03-24,Credit scoring,Sandra F. Braunstein,"Director, Division of Consumer and Community Affairs Board of Governors of the Federal Reserve System",0,0,Subcommittee on Financial Institutions and Consumer Credit,Committee on Financial Services,U.S. House of Representatives
Testimony,bernanke20100325a.pdf,2010-03-25,Federal Reserve's exit strategy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,tarullo20100326a.pdf,2010-03-26,Lessons from the Crisis Stress Tests,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Federal Reserve Board International Research Forum on Monetary Policy,"Washington, D.C.",0,0,0
Speech,warsh20100326a.pdf,2010-03-26,An Ode to Independence,Kevin Warsh,Member Board of Governors of the Federal Reserve System,Shadow Open Market Committee,"New York, New York",0,0,0
Speech,duke20100331a.pdf,2010-03-31,Restoring Credit to Communities,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Fifty-third Annual Western Independent Bankers Conference,"Scottsdale, Arizona",0,0,0
Speech,bernanke20100407a.pdf,2010-04-07,"Economic Challenges: Past, Present, and Future",Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Dallas Regional Chamber,"Dallas, Texas",0,0,0
Speech,bernanke20100408a.pdf,2010-04-08,Economic Policy: Lessons from History,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,43rd Annual Alexander Hamilton Awards Dinner Center for the Study of the Presidency and Congress,"Washington, D.C.",0,0,0
Speech,duke20100408a.pdf,2010-04-08,The Importance of Financial Education,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Jump$tart Coalition Investing in Our Future: Financial Education and Washington Event,"Washington, D.C.",0,0,0
Speech,kohn20100408a.pdf,2010-04-08,The Economic Outlook,Donald L. Kohn,Vice Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of San Francisco Community Leaders Luncheon,"San Francisco, California",0,0,0
Speech,tarullo_20100408a.pdf,2010-04-08,The Present and Future of Community Banking,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Federal Reserve Bank of New York Community Bankers’ Conference,"New York, New York",0,0,0
Speech,bernanke20100413a.pdf,2010-04-13,Fostering Financial Literacy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,National Bankers Association Foundation Reception,"Washington, D.C.",0,0,0
Speech,tarullo20100413a.pdf,2010-04-13,Involving Markets and the Public in Financial Regulation,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Council of Institutional Investors Meeting,"Washington, D.C.",0,0,0
Testimony,bernanke20100414a.pdf,2010-04-14,Economic outlook,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Joint Economic Committee,U.S. Congress
Speech,duke20100419a.pdf,2010-04-19,Issues in Economic Development,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,International Economic Development Council’s Federal Economic Development Forum,"Alexandria, Virginia",0,0,0
Testimony,bernanke20100420a.pdf,2010-04-20,Lessons from the failure of Lehman Brothers,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,bernanke20100421a.pdf,2010-04-21,Brief Remarks,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,New $100 Note Unveiling Event at the U.S. Treasury Department,"Washington, D.C.",0,0,0
Speech,bernanke20100427a.pdf,2010-04-27,Achieving Fiscal Sustainability,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,National Commission on Fiscal Responsibility and Reform,"Washington, D.C.",0,0,0
Speech,duke20100501a.pdf,2010-05-01,Women and Money: Challenging the Myths,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Consumer Credit Counseling Services of Delaware Valley Financially Hers Program,"Philadelphia, Pennsylvania",0,0,0
Speech,bernanke20100506a.pdf,2010-05-06,The Supervisory Capital Assessment Program--One Year Later,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of Chicago 46th Annual Conference on Bank Structure and Competition,"Chicago, Illinois",0,0,0
Speech,bernanke20100508a.pdf,2010-05-08,Commencement Address: The Economics of Happiness,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,University of South Carolina,"Columbia, South Carolina",0,0,0
Speech,kohn20100511a.pdf,2010-05-11,Global Imbalances,Donald L. Kohn,Vice Chair Board of Governors of the Federal Reserve System,High-Level Conference on the International Monetary System Sponsored by the Swiss National Bank and the International Monetary Fund,"Zurich, Switzerland",0,0,0
Speech,kohn20100513a.pdf,2010-05-13,The Federal Reserve’s Policy Actions during the Financial Crisis and Lessons for the Future,Donald L. Kohn,Vice Chair Board of Governors of the Federal Reserve System,Carleton University,"Ottawa, Canada",0,0,0
Testimony,tarullo20100520a.pdf,2010-05-20,International response to European debt problems,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,Subcommittee on International Monetary Policy and Trade and Subcommittee on Domestic Monetary Policy and Technology,Committee on Financial Services,U.S. House of Representatives
Speech,bernanke20100525a.pdf,2010-05-25,"Central Bank Independence, Transparency, and Accountability",Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Institute for Monetary and Economic Studies International Conference Bank of Japan,"Tokyo, Japan",0,0,0
Testimony,alvarez20100526a.pdf,2010-05-26,Government assistance to AIG,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,0,Congressional Oversight Panel,U.S. Congress
Speech,bernanke20100530a.pdf,2010-05-30,The Policy Response to the Crisis in Korea and Other Emerging Market Economies,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Bank of Korea’s International Conference,"Seoul, Korea",0,0,0
Speech,bernanke20100603a.pdf,2010-06-03,Speech by Chairman Bernanke: Meeting on Addressing the Financing Needs of Michiganís Small Businesses,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Meeting on Addressing the Financing Needs of Michigan’s Small Businesses,"Detroit, Michigan",0,0,0
Speech,duke20100608a.pdf,2010-06-08,Moving Beyond the Financial Crisis,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Consumer Bankers Association Annual Conference,"Hollywood, Florida",0,0,0
Speech,bernanke20100609b.pdf,2010-06-09,Fostering Workforce Development,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Community College Workforce Alliance,"Richmond, Virginia",0,0,0
Testimony,bernanke20100609a.pdf,2010-06-09,Economic and Financial Conditions and the Federal Budget,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Committee on the Budget,U.S. House of Representatives
Speech,bernanke20100616a.pdf,2010-06-16,Remarks on The Squam Lake Report: Fixing the Financial System,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,The Squam Lake Conference,"New York, New York",0,0,0
Speech,warsh20100628a.pdf,2010-06-28,It’s Greek to Me,Kevin Warsh,Member Board of Governors of the Federal Reserve System,Atlanta Rotary Club,"Atlanta, Georgia",0,0,0
Speech,duke20100630a.pdf,2010-06-30,Fostering a Healthy Credit Environment,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Ohio Bankers Day,"Columbus, Ohio",0,0,0
Speech,bernanke20100712a.pdf,2010-07-12,Restoring the Flow of Credit to Small Businesses,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Federal Reserve Meeting Series: “Addressing the Financing Needs of Small Businesses”,"Washington, D.C.",0,0,0
Speech,duke20100712a.pdf,2010-07-12,Small Business Credit: Next Steps,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Federal Reserve Meeting Series: “Addressing the Financing Needs of Small Businesses”,"Washington, D.C.",0,0,0
Speech,duke20100715a.pdf,2010-07-15,Opening Remarks by Governor Duke at the HMDA hearing,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Public Hearing on Potential Revisions to the Home Mortgage Disclosure Act,"Atlanta, Georgia",0,0,0
Testimony,roseman20100720a.pdf,2010-07-20,The state of U.S. coins and currency,Louise L. Roseman,Director Division of Reserve Bank Operations and Payment Systems Board of Governors of the Federal Reserve System,0,0,Subcommittee on Domestic Monetary Policy and Technology,Committee on Financial Services,U.S. House of Representatives
Testimony,tarullo20100720a.pdf,2010-07-20,International cooperation and financial regulatory modernization,Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,0,0,Subcommittee on Security and International Trade and Finance,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Testimony,bernanke20100721a.pdf,2010-07-21,Semiannual Monetary Policy Report to the Congress,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20100730a.pdf,2010-08-02,Challenges for the Economy and State Governments,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Annual Meeting of the Southern Legislative Conference of the Council of State Governments,"Charleston, South Carolina",0,0,0
Speech,bernanke20100827a.pdf,2010-08-27,The Economic Outlook and Monetary Policy,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Federal Reserve Bank of Kansas City Economic Symposium,"Jackson Hole, Wyoming",0,0,0
Speech,duke20100901a.pdf,2010-09-01,Stabilizing Neighborhoods: Lessons Learned from the Field,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Board of Governors,"Washington, D.C.",0,0,0
Testimony,alvarez20100901a.pdf,2010-09-01,The Acquisition of Wachovia Corporation by Wells Fargo & Company,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,0,Financial Crisis Inquiry Commission,U.S. Congress
Testimony,bernanke20100902a.pdf,2010-09-02,Causes of the Recent Financial and Economic Crisis,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,Financial Crisis Inquiry Commission,U.S. Congress
Speech,tarullo20100917a.pdf,2010-09-17,"Comments on ""Regulating the Shadow Banking System""",Daniel K. Tarullo,Member Board of Governors of the Federal Reserve System,Brookings Panel on Economic Activity,"Washington, D.C.",0,0,0
Speech,bernanke20100924a.pdf,2010-09-24,On the Implications of the Financial Crisis for Economics,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Conference co-sponsored by the Bendheim Center for Finance and the Center for Economic Policy Studies,"Princeton, New Jersey",0,0,0
Speech,duke20100924a.pdf,2010-09-24,Remarks by Governor Duke on the Home Mortgage Disclosure Act hearing,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Public Hearing on Potential Revisions to the Home Mortgage Disclosure Act,"Washington, D.C.",0,0,0
Testimony,alvarez20100924a.pdf,2010-09-24,Incentive Compensation,Scott G. Alvarez,General Counsel Board of Governors of the Federal Reserve System,0,0,0,Committee on Financial Services,U.S. House of Representatives
Speech,bernanke20100930b.pdf,2010-09-30,Chairman Bernanke's Welcoming Remarks at the Federal Reserve System Town Hall Meeting with Educators,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Federal Reserve System Town Hall Meeting with Educators,"Washington, D.C.",0,0,0
Testimony,bernanke20100930a.pdf,2010-09-30,Regulatory Reform Implementation,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,0,0,0,"Committee on Banking, Housing, and Urban Affairs",U.S. Senate
Speech,bernanke20101004a.pdf,2010-10-04,Fiscal Sustainability and Fiscal Rules,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Annual Meeting of the Rhode Island Public Expenditure Council,"Providence, Rhode Island",0,0,0
Speech,yellen20101011a.pdf,2010-10-11,Macroprudential Supervision and Monetary Policy in the Post-crisis World,Janet L. Yellen,Vice Chair Board of Governors of the Federal Reserve System,Annual Meeting of the National Association for Business Economics,"Denver, Colorado",0,0,0
Speech,bernanke20101015a.pdf,2010-10-15,Monetary Policy Objectives and Tools in a Low-Inflation Environment,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,“Revisiting Monetary Policy in a Low-Inflation Environment” a Conference Sponsored by the Federal Reserve Bank of Boston,"Boston, Massachusetts",0,0,0
Speech,bernanke20101019a.pdf,2010-10-19,Chairman Ben S. Bernanke's Remarks at the Grand Opening of the Junior Achievement Finance Park,Ben S. Bernanke,Chair Board of Governors of the Federal Reserve System,Grand Opening of the Junior Achievement Finance Park,"Fairfax, Virginia",0,0,0
Speech,duke20101019a.pdf,2010-10-19,Come with Me to the FOMC,Elizabeth A. Duke,Member Board of Governors of the Federal Reserve System,Money Marketeers of New York University,"New York, New York",0,0,0
